id,review_body,stars,language,lenght_review_body,review_body_clean,sentiment
8,Hola! El producto q he pedido no es el q me ha llegado.pedì el espejo con luz y me han llegado los espejo q no tienen luz,1,es,121,hola el producto q he pedido no es el q me ha llegadoped el espejo con luz y me han llegado los espejo q no tienen luz,negativo
89,No quita nada de nada,2,es,21,no quita nada de nada,negativo
124,"Me ha gustado mucho el color y la suavidad de la funda, se adapta perfectamente al teléfono.",5,es,92,me ha gustado mucho el color y la suavidad de la funda se adapta perfectamente al teléfono,positivo
141,"Son de hombre específicamente aunque indique que puede ser para hombres y mujeres. El cristal azul, muy chulo. Bien para el precio que tiene",3,es,140,son de hombre específicamente aunque indique que puede ser para hombres y mujeres el cristal azul muy chulo bien para el precio que tiene,neutro
344,"Está bien de precio (dentro de lo normal en este tipo de colchones en el mercado), pero resulta demasiado duro. No lo recomendaría para su compra.",2,es,146,está bien de precio dentro de lo normal en este tipo de colchones en el mercado pero resulta demasiado duro no lo recomendaría para su compra,negativo
375,"Mi padre está muy contento, tanto que seguramente me compre otro para mi, cómodo, gran agarre y fácil de instalar/usar.",5,es,119,mi padre está muy contento tanto que seguramente me compre otro para mi cómodo gran agarre y fácil de instalarusar,positivo
739,Entre canción y canción se pasa mucho tiempo hablando el boss,3,es,61,entre canción y canción se pasa mucho tiempo hablando el boss,neutro
824,Este producto es lo mejor del mercado.una maravilla,5,es,51,este producto es lo mejor del mercadouna maravilla,positivo
1332,"Le pongo tres estrellas por el zumbido que emiten algunas de las bombillas, en cuanto a luz que emiten muy bien",3,es,111,le pongo tres estrellas por el zumbido que emiten algunas de las bombillas en cuanto a luz que emiten muy bien,neutro
1947,"Enamorada de ella, fotos perfectas de muy buena calidad y videos super buenos. Se ve super bien y bajo el agua una calidad super buena.",5,es,135,enamorada de ella fotos perfectas de muy buena calidad y videos super buenos se ve super bien y bajo el agua una calidad super buena,positivo
2027,"Es un film , sin instrucciones de montaje. Accesorios malos para su colocación. No protege la pantalla.",1,es,103,es un film sin instrucciones de montaje accesorios malos para su colocación no protege la pantalla,negativo
2154,"Funciona muy bien, y al principio me flipaba que fuera el cable de naylon, pero con el tiempo me acabo pareciendo incómodo ya que es demasiado rígido y cuesta darle forma. En resumen, cable de buena calidad y resistente pero si piensas usar el móvil mientras lo cargas no me parece la mejor compra.",3,es,298,funciona muy bien y al principio me flipaba que fuera el cable de naylon pero con el tiempo me acabo pareciendo incómodo ya que es demasiado rígido y cuesta darle forma en resumen cable de buena calidad y resistente pero si piensas usar el móvil mientras lo cargas no me parece la mejor compra,neutro
2447,"Sin duda cumple con su cometido, pero se podría haber ajustado por mucho el tamaño y el peso ya que su peso y tamaño son excesivos. Debe proteger pero también debe ser práctico y esto último deja mucho que desear. Aparte la Pantalla táctil pierde mucha sensibilidad. No me ha convencido.",2,es,287,sin duda cumple con su cometido pero se podría haber ajustado por mucho el tamaño y el peso ya que su peso y tamaño son excesivos debe proteger pero también debe ser práctico y esto último deja mucho que desear aparte la pantalla táctil pierde mucha sensibilidad no me ha convencido,negativo
2595,Ideal para un niño de 12 años. Les ha gustado mucho. Es rigido y va bien para correr,5,es,84,ideal para un niño de años les ha gustado mucho es rigido y va bien para correr,positivo
2991,"Es un buen serum. Deja la piel muy suave, con algo de efecto tensor al rato. No me han salido manchas porque la usa de noche y la quito muy bien por las mañanas. El efecto contra las arrugas aún debe ser muy pronto para notarlo, porque no he visto o notado ninguna acción contra las pequeñas marcas de expresion que me están saliendo. Espero que cuando acabe el bote haya hecho algun efecto para poder comprarlo de nuevo.",3,es,421,es un buen serum deja la piel muy suave con algo de efecto tensor al rato no me han salido manchas porque la usa de noche y la quito muy bien por las mañanas el efecto contra las arrugas aún debe ser muy pronto para notarlo porque no he visto o notado ninguna acción contra las pequeñas marcas de expresion que me están saliendo espero que cuando acabe el bote haya hecho algun efecto para poder comprarlo de nuevo,neutro
